time;acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
0.146000;-0.343968;8.451449;4.903492;-0.005956;0.003360;-0.008858
0.306000;-0.171087;8.526225;5.021338;0.023060;-0.010843;-0.045357
0.465000;-0.269791;8.689535;5.231308;0.137903;-0.041997;-0.097891
0.586000;-0.748355;9.367901;2.972484;0.706160;-0.236710;-0.264352
0.747000;0.113061;9.334401;1.954936;0.929737;-0.101251;0.070708
0.900000;-1.901098;9.248857;-1.063011;1.686141;-0.006109;-0.587347
1.021000;-2.401197;9.570692;-0.354736;0.537103;-0.046884;-0.630260
1.182000;-1.754537;8.909077;-3.232703;0.400575;0.477086;-0.155771
1.302000;-2.108675;9.093325;-4.214359;0.797485;0.100182;-0.099113
1.456000;-3.023930;9.069396;0.664008;-0.949895;-1.238224;0.042150
1.615000;-2.359323;9.406784;0.369691;-1.082148;-0.523664;-0.100793
1.775000;-3.688536;9.625728;1.497309;-0.459829;0.049022;-0.296575
1.890000;-3.847061;7.778468;2.352743;-0.122478;-0.838107;-0.783435
2.050000;-5.236692;8.271390;1.541576;0.103694;0.435241;-0.585209
2.209000;-5.299504;7.341778;0.750748;0.049327;1.036791;-0.391870
2.358000;-4.578068;7.509874;-3.831507;0.381333;2.588389;0.337961
2.478000;-4.159922;8.313862;-3.302095;1.403310;-0.587500;1.110095
2.639000;-1.800599;9.168100;-3.128017;0.022144;-0.019700;0.914313
2.761000;-1.448256;8.934800;-3.190231;-0.092088;0.152258;0.689667
2.920000;-2.116452;9.220742;-2.580061;-0.101098;-0.429438;0.229227
3.081000;-0.967299;9.723833;-3.296711;0.203724;-0.353844;0.070555
3.201000;-3.430111;7.740183;-3.381657;-0.062308;-0.404393;-0.597426
3.362000;-3.353541;8.659027;-3.424727;0.331547;-1.485777;-0.333991
3.484000;-2.994019;8.871390;-2.630310;-0.224646;0.721890;0.022755
3.644000;-3.387639;8.528618;-3.117250;-0.019090;0.596663;-0.061850
3.803000;-3.190231;8.645866;-2.959323;-0.186161;0.414472;-0.108887
3.925000;-3.223730;8.667402;-2.808576;0.163254;-0.599717;0.082772
4.085000;-2.367100;8.910872;-2.645265;-0.087506;0.319024;0.167377
4.245000;-2.813959;8.939586;-2.892324;-0.065821;-0.030696;0.148898
4.365000;-2.342573;8.806784;-3.285346;0.242819;-0.232434;0.048564
4.526000;-2.591427;9.352945;-2.770290;0.098655;-0.834900;0.024129
4.647000;-2.868994;8.743374;-2.999403;-0.385609;0.246484;-0.108123
4.807000;-4.004987;8.861818;-2.559124;0.027184;-0.873843;-0.281151
4.967000;-5.784050;7.738389;0.929612;0.326049;-3.376405;-0.975399
5.088000;-6.540183;7.417152;-0.641276;-0.101709;-0.127213;-0.675006
5.247000;-6.943373;7.194620;-1.290928;-0.013134;0.269086;-0.476475
5.406000;-6.981658;6.366105;-2.434099;-0.084147;1.493871;-0.690430
5.526000;-6.664011;6.451648;-3.306283;0.273362;0.071777;-0.158978
5.686000;-6.680761;6.295516;-3.343371;-0.312763;0.864374;-0.046120
5.807000;-6.171090;6.982256;-3.142972;-0.511447;0.347735;0.105222
5.967000;-5.230112;7.584051;-2.570490;-0.271224;0.218232;0.682642
6.128000;-3.300899;8.487940;-2.980859;0.165239;-0.466854;1.488679
6.248000;-2.827120;9.045467;-3.066402;0.329562;-0.301920;0.702342
6.409000;-2.042872;9.479167;-3.032903;-0.025351;0.268475;0.380416
6.570000;-0.646062;9.251849;-3.259623;0.015272;0.575130;0.629344
6.691000;-1.285544;7.244869;-3.540181;-0.002749;-0.140346;-0.047342
6.850000;-0.659821;9.780663;-3.315854;0.000611;-0.042761;0.416305
6.970000;-1.145564;9.199206;-3.142374;0.124006;-0.139888;0.235947
7.133000;-0.241077;8.824132;-4.167699;0.317803;0.321010;0.021228
7.294000;-0.449851;9.032906;-4.037888;0.244652;0.178831;0.018784
7.414000;-0.347557;8.614759;-4.298108;0.106901;0.239001;-0.080023
7.575000;-0.655633;8.390432;-3.968496;0.064904;0.058032;-0.037568
7.695000;-0.739382;8.817552;-4.146163;-0.025351;-0.236099;0.019853
7.856000;-0.807578;8.739186;-4.183850;-0.004429;0.031001;0.100793
8.016000;-0.864407;8.732606;-3.757928;0.021686;-0.057727;-0.005803
8.137000;-0.279960;8.770293;-4.396811;0.102320;0.303142;0.027794
8.296000;-0.345165;8.797213;-4.260421;-0.043219;-0.079412;-0.031460
8.457000;-0.267996;8.937193;-4.107878;0.014661;-0.087506;-0.063835
8.578000;0.352941;10.034900;-1.575674;0.041844;-0.253662;-0.085216
8.738000;0.221934;8.944371;-1.773082;-0.776257;-0.112399;0.548099
8.859000;-0.930808;9.078967;-1.731805;-1.410030;-0.476780;1.087951
9.019000;0.596411;12.229118;-0.409173;-1.171640;-0.478460;0.250913
9.177000;0.793221;9.616755;0.240479;-0.219606;0.106749;-0.135001
9.299000;0.664008;9.714262;1.217349;-0.038790;-0.080176;-0.242208
9.462000;0.448654;9.962517;1.706681;-0.167072;0.006261;-0.138056
9.621000;0.408574;9.621540;0.325424;0.214719;0.106901;-0.130114
9.741000;-0.445065;9.272188;-1.641476;0.798095;-0.232740;-0.232434
9.902000;0.073579;9.894321;-0.544367;0.233351;0.032223;-0.117133
10.023000;-0.882952;9.479167;-1.124627;-0.069028;0.040928;-0.257480
10.182000;-0.846461;9.592228;-1.149153;0.147371;-0.167072;-0.211054
10.343000;-1.165305;9.664611;-0.760918;-0.192575;-0.012828;-0.010690
10.463000;-0.590429;9.723235;0.102891;-0.424704;0.103084;0.016341
10.625000;-0.842274;9.612567;-0.187238;-0.075136;-0.084452;0.046578
10.744000;-0.781257;9.174680;-1.234098;-0.141110;0.019853;0.036194
10.904000;1.592423;12.199806;0.145962;-1.095281;0.063072;0.106443
11.065000;2.575275;9.245867;-0.737588;-1.609019;-1.028086;-0.162948
11.184000;-0.227318;10.268799;2.067399;1.712561;-0.097280;0.453109
11.345000;-0.524626;12.439089;0.081356;2.784629;-0.004429;0.437227
11.505000;-0.671785;10.360922;1.400998;-0.908357;-0.105222;-0.506102
11.624000;-0.950549;9.542577;-0.628714;-0.571770;-0.034819;-0.496481
11.786000;-0.802792;9.661021;0.086740;-0.469908;-0.245415;-0.238085
11.905000;-0.586840;10.019945;0.706481;-0.727235;-0.088117;-0.110414
