[7.29014e-07],[5.33463e-07],[1.85922e-06]
[2.83156e-06],[2.63230e-06],[7.83819e-06]
[6.36428e-06],[6.39567e-06],[1.83049e-05]
[1.13584e-05],[1.11047e-05],[3.30844e-05]
[1.76840e-05],[1.65892e-05],[5.18323e-05]
[2.55483e-05],[2.34267e-05],[7.43279e-05]
[3.48386e-05],[3.22230e-05],[1.00542e-04]
[4.48831e-05],[4.29541e-05],[1.30218e-04]
[5.55871e-05],[5.52285e-05],[1.62977e-04]
[6.72829e-05],[6.88825e-05],[1.98763e-04]
[8.00551e-05],[8.41401e-05],[2.37678e-04]
[9.39565e-05],[1.01210e-04],[2.79928e-04]
[1.09157e-04],[1.19904e-04],[3.25738e-04]
[1.25620e-04],[1.40001e-04],[3.74986e-04]
[1.42969e-04],[1.61641e-04],[4.27600e-04]
[1.60929e-04],[1.84732e-04],[4.83682e-04]
[1.79616e-04],[2.08707e-04],[5.43116e-04]
[1.99428e-04],[2.33542e-04],[6.05890e-04]
[2.20600e-04],[2.59675e-04],[6.72061e-04]
[2.43006e-04],[2.87382e-04],[7.41479e-04]
[2.66426e-04],[3.16741e-04],[8.14036e-04]
[2.90732e-04],[3.47483e-04],[8.89842e-04]
[3.16275e-04],[3.79564e-04],[9.69108e-04]
[3.43461e-04],[4.13101e-04],[1.05190e-03]
[3.72015e-04],[4.47698e-04],[1.13816e-03]
[4.01630e-04],[4.83026e-04],[1.22783e-03]
[4.32158e-04],[5.19568e-04],[1.32076e-03]
[4.63741e-04],[5.58080e-04],[1.41692e-03]
[4.96945e-04],[5.98785e-04],[1.51615e-03]
[5.31875e-04],[6.41250e-04],[1.61811e-03]
[5.68372e-04],[6.85407e-04],[1.72253e-03]
[6.06513e-04],[7.31572e-04],[1.82942e-03]
[6.46166e-04],[7.79792e-04],[1.93913e-03]
[6.87102e-04],[8.30442e-04],[2.05150e-03]
[7.29470e-04],[8.83631e-04],[2.16583e-03]
[7.73358e-04],[9.38963e-04],[2.28201e-03]
[8.18277e-04],[9.96352e-04],[2.40035e-03]
[8.63918e-04],[1.05604e-03],[2.52073e-03]
[9.10922e-04],[1.11761e-03],[2.64312e-03]
[9.60134e-04],[1.17994e-03],[2.76791e-03]
[1.01189e-03],[1.24293e-03],[2.89569e-03]
[1.06614e-03],[1.30762e-03],[3.02709e-03]
[1.12268e-03],[1.37468e-03],[3.16205e-03]
[1.18156e-03],[1.44398e-03],[3.30012e-03]
[1.24277e-03],[1.51505e-03],[3.44099e-03]
[1.30570e-03],[1.58784e-03],[3.58454e-03]
[1.36995e-03],[1.66249e-03],[3.73060e-03]
[1.43561e-03],[1.73877e-03],[3.87882e-03]
[1.50275e-03],[1.81656e-03],[4.02893e-03]
[1.57115e-03],[1.89595e-03],[4.18097e-03]
[1.64065e-03],[1.97669e-03],[4.33533e-03]
[1.71127e-03],[2.05853e-03],[4.49227e-03]
[1.78307e-03],[2.14207e-03],[4.65184e-03]
[1.85610e-03],[2.22773e-03],[4.81401e-03]
[1.93007e-03],[2.31512e-03],[4.97836e-03]
[2.00449e-03],[2.40408e-03],[5.14479e-03]
[2.07910e-03],[2.49452e-03],[5.31339e-03]
[2.15492e-03],[2.58635e-03],[5.48382e-03]
[2.23335e-03],[2.67958e-03],[5.65579e-03]
[2.31422e-03],[2.77411e-03],[5.82938e-03]
[2.39677e-03],[2.87039e-03],[6.00459e-03]
[2.48080e-03],[2.96903e-03],[6.18170e-03]
[2.56624e-03],[3.06932e-03],[6.36123e-03]
[2.65281e-03],[3.17057e-03],[6.54299e-03]
[2.74030e-03],[3.27305e-03],[6.72653e-03]
[2.82904e-03],[3.37671e-03],[6.91196e-03]
[2.91892e-03],[3.48099e-03],[7.09956e-03]
[3.00877e-03],[3.58439e-03],[7.28958e-03]
[3.09800e-03],[3.68412e-03],[7.48245e-03]
[3.18697e-03],[3.77678e-03],[7.67874e-03]
[3.27499e-03],[3.86042e-03],[7.87879e-03]
[3.36111e-03],[3.93652e-03],[8.08235e-03]
[3.44557e-03],[4.00851e-03],[8.28841e-03]
[3.52887e-03],[4.07807e-03],[8.49615e-03]
[3.61150e-03],[4.14610e-03],[8.70529e-03]
[3.69455e-03],[4.21452e-03],[8.91535e-03]
[3.77924e-03],[4.28552e-03],[9.12558e-03]
[3.86607e-03],[4.36097e-03],[9.33569e-03]
[3.95488e-03],[4.44135e-03],[9.54574e-03]
[4.04498e-03],[4.52581e-03],[9.75626e-03]
[4.13576e-03],[4.61206e-03],[9.96879e-03]
[4.22683e-03],[4.69674e-03],[1.01851e-02]
[4.31746e-03],[4.77811e-03],[1.04066e-02]
[4.40670e-03],[4.85726e-03],[1.06343e-02]
[4.49428e-03],[4.93692e-03],[1.08679e-02]
[4.58127e-03],[5.01994e-03],[1.11049e-02]
[4.66893e-03],[5.10693e-03],[1.13425e-02]
[4.75776e-03],[5.19611e-03],[1.15779e-02]
[4.84727e-03],[5.28683e-03],[1.18096e-02]
[4.93675e-03],[5.37990e-03],[1.20378e-02]
[5.02614e-03],[5.47627e-03],[1.22626e-02]
[5.11539e-03],[5.57800e-03],[1.24830e-02]
[5.20447e-03],[5.68779e-03],[1.26985e-02]
[5.29402e-03],[5.80835e-03],[1.29096e-02]
[5.38534e-03],[5.94180e-03],[1.31168e-02]
[5.47922e-03],[6.08826e-03],[1.33212e-02]
[5.57565e-03],[6.24591e-03],[1.35232e-02]
[5.67491e-03],[6.41175e-03],[1.37231e-02]
[5.77700e-03],[6.58279e-03],[1.39214e-02]
[5.88087e-03],[6.75671e-03],[1.41183e-02]
[5.98556e-03],[6.93160e-03],[1.43137e-02]
[6.09136e-03],[7.10586e-03],[1.45078e-02]
[6.19923e-03],[7.27966e-03],[1.47002e-02]
[6.30924e-03],[7.45538e-03],[1.48901e-02]
[6.42154e-03],[7.63521e-03],[1.50781e-02]
[6.53693e-03],[7.82099e-03],[1.52658e-02]
[6.65623e-03],[8.01468e-03],[1.54543e-02]
[6.78174e-03],[8.21761e-03],[1.56448e-02]
[6.91574e-03],[8.42853e-03],[1.58369e-02]
[7.05760e-03],[8.64461e-03],[1.60294e-02]
[7.20533e-03],[8.86376e-03],[1.62223e-02]
[7.35784e-03],[9.08360e-03],[1.64158e-02]
[7.51556e-03],[9.30246e-03],[1.66096e-02]
[7.67873e-03],[9.51910e-03],[1.68036e-02]
[7.84605e-03],[9.73123e-03],[1.69987e-02]
[8.01568e-03],[9.93904e-03],[1.71951e-02]
[8.18594e-03],[1.01445e-02],[1.73933e-02]
[8.35593e-03],[1.03487e-02],[1.75937e-02]
[8.52556e-03],[1.05520e-02],[1.77960e-02]
[8.69473e-03],[1.07540e-02],[1.79996e-02]
[8.86280e-03],[1.09540e-02],[1.82044e-02]
[9.02947e-03],[1.11517e-02],[1.84103e-02]
[9.19417e-03],[1.13468e-02],[1.86182e-02]
[9.35677e-03],[1.15396e-02],[1.88286e-02]
[9.51817e-03],[1.17297e-02],[1.90411e-02]
[9.67827e-03],[1.19176e-02],[1.92552e-02]
[9.83648e-03],[1.21037e-02],[1.94700e-02]
[9.99356e-03],[1.22883e-02],[1.96847e-02]
[1.01507e-02],[1.24719e-02],[1.98978e-02]
[1.03090e-02],[1.26549e-02],[2.01077e-02]
[1.04696e-02],[1.28379e-02],[2.03137e-02]
[1.06328e-02],[1.30219e-02],[2.05161e-02]
[1.07988e-02],[1.32083e-02],[2.07151e-02]
[1.09680e-02],[1.33974e-02],[2.09107e-02]
[1.11410e-02],[1.35895e-02],[2.11032e-02]
[1.13185e-02],[1.37851e-02],[2.12925e-02]
[1.15015e-02],[1.39837e-02],[2.14787e-02]
[1.16911e-02],[1.41854e-02],[2.16616e-02]
[1.18893e-02],[1.43914e-02],[2.18411e-02]
[1.20968e-02],[1.46020e-02],[2.20173e-02]
[1.23143e-02],[1.48179e-02],[2.21900e-02]
[1.25421e-02],[1.50405e-02],[2.23593e-02]
[1.27810e-02],[1.52701e-02],[2.25259e-02]
[1.30318e-02],[1.55067e-02],[2.26909e-02]
[1.32939e-02],[1.57504e-02],[2.28552e-02]
[1.35654e-02],[1.60019e-02],[2.30194e-02]
[1.38443e-02],[1.62618e-02],[2.31843e-02]
[1.41303e-02],[1.65306e-02],[2.33500e-02]
[1.44236e-02],[1.68063e-02],[2.35167e-02]
[1.49968e-02],[1.73362e-02],[2.38349e-02]
[1.55935e-02],[1.78761e-02],[2.41624e-02]
[1.62169e-02],[1.84225e-02],[2.44995e-02]
[1.68736e-02],[1.89742e-02],[2.48476e-02]
[1.75738e-02],[1.95325e-02],[2.52087e-02]
[1.83251e-02],[2.01006e-02],[2.55830e-02]
[1.91289e-02],[2.06831e-02],[2.59683e-02]
[1.99852e-02],[2.12831e-02],[2.63623e-02]
[2.08950e-02],[2.19025e-02],[2.67639e-02]
[2.18623e-02],[2.25438e-02],[2.71726e-02]
[2.28941e-02],[2.32083e-02],[2.75889e-02]
[2.39961e-02],[2.38957e-02],[2.80118e-02]
[2.51763e-02],[2.46074e-02],[2.84346e-02]
[2.64475e-02],[2.53452e-02],[2.88496e-02]
[2.78251e-02],[2.61101e-02],[2.92504e-02]
[2.93258e-02],[2.69014e-02],[2.96301e-02]
[3.09650e-02],[2.77137e-02],[2.99812e-02]
[3.27530e-02],[2.85380e-02],[3.02994e-02]
[3.46970e-02],[2.93671e-02],[3.05851e-02]
[3.68038e-02],[3.01979e-02],[3.08381e-02]
[3.90777e-02],[3.10282e-02],[3.10576e-02]
[4.15221e-02],[3.18480e-02],[3.12503e-02]
[4.41440e-02],[3.26371e-02],[3.14385e-02]
[4.69510e-02],[3.33819e-02],[3.16655e-02]
[4.99405e-02],[3.40916e-02],[3.20109e-02]
[5.31099e-02],[3.47953e-02],[3.26152e-02]
[5.64822e-02],[3.55354e-02],[3.36739e-02]
[6.01106e-02],[3.63561e-02],[3.53640e-02]
[6.40487e-02],[3.72834e-02],[3.77611e-02]
[6.83228e-02],[3.83217e-02],[4.08233e-02]
[7.29439e-02],[3.94647e-02],[4.44555e-02]
