,0,1,2
0,0.0,0.0,0.0
1,1.908052550025248e-10,2.174462822752374e-10,5.722868581296374e-10
2,9.037177464681063e-10,9.199890872654772e-10,2.644676821121793e-09
3,2.3914769937897314e-09,2.118131079300909e-09,7.026824322504332e-09
4,4.963506219858782e-09,4.228399648708973e-09,1.4331281456701939e-08
5,9.459109820021403e-09,8.356814549926524e-09,2.5377353402758885e-08
6,1.5142790528517524e-08,1.5192795895562466e-08,4.0939747079554363e-08
7,2.148655309722611e-08,2.4297330187665994e-08,6.085123925749366e-08
8,3.071886806963058e-08,3.567422238682878e-08,8.561797108821469e-08
9,4.320537418981874e-08,5.067828170440727e-08,1.1670359025777201e-07
10,5.9001556079019365e-08,7.165482260967967e-08,1.5478370079521498e-07
11,7.941283058523966e-08,9.849602871526742e-08,2.017859447292021e-07
12,1.061862639751608e-07,1.2954973470312224e-07,2.5810215555568124e-07
13,1.3703141152710523e-07,1.6734612014267506e-07,3.218037374249726e-07
14,1.697487268629967e-07,2.1599548167206116e-07,3.966764964719298e-07
15,2.074030963678842e-07,2.6933686799036174e-07,4.822131223253842e-07
16,2.555597718339575e-07,3.239784772230773e-07,5.774408771665316e-07
17,3.195035559392052e-07,3.9612221245250227e-07,6.860723498656894e-07
18,3.951359431254877e-07,4.855289259478481e-07,8.068972472568234e-07
19,4.79302966857124e-07,5.961659747666487e-07,9.382171681703937e-07
20,5.718964499245929e-07,7.222685503702535e-07,1.0829638871279238e-06
21,6.769902804414184e-07,8.574754721483915e-07,1.245256602702871e-06
22,8.211086214669687e-07,1.0226719377467495e-06,1.427385395739847e-06
23,9.888473706749278e-07,1.207978253961788e-06,1.6239157773829457e-06
24,1.1583793829395162e-06,1.390998680850156e-06,1.8376289219806312e-06
25,1.3498883911901207e-06,1.5980265473998896e-06,2.0674632804972506e-06
26,1.5500075243608491e-06,1.874589078716782e-06,2.3105593569161833e-06
27,1.806743823643351e-06,2.2205395023974724e-06,2.5750598327761025e-06
28,2.1298304750182252e-06,2.6040758948908506e-06,2.8479644066005044e-06
29,2.4690698471836937e-06,2.9831075361456123e-06,3.129646101861972e-06
30,2.851987201169951e-06,3.4532815839755374e-06,3.4213117148818503e-06
31,3.288644242315515e-06,3.976872380079691e-06,3.7420800581021996e-06
32,3.7350678110290315e-06,4.566916646654272e-06,4.094931063812042e-06
33,4.219255256539197e-06,5.288332803214281e-06,4.439533328603968e-06
34,4.793098438486889e-06,6.038095958337919e-06,4.7789761786540535e-06
35,5.391345913998035e-06,6.816166586352525e-06,5.151342922436589e-06
36,5.935965833888292e-06,7.69239707017885e-06,5.550442876940345e-06
37,6.54795334165623e-06,8.69216842017272e-06,5.952327419738488e-06
38,7.379867626851518e-06,9.58225731097057e-06,6.3864963808960446e-06
39,8.3808473771804e-06,1.0345313535689268e-05,6.868626530421834e-06
40,9.492765428145566e-06,1.1327277336479598e-05,7.419596203766656e-06
41,1.0642121658386569e-05,1.2589654290374219e-05,8.021397256965775e-06
42,1.1848253949303202e-05,1.3987138862141009e-05,8.62219184537179e-06
43,1.3215649594266435e-05,1.5364546814393465e-05,9.228732467103337e-06
44,1.4564173034470368e-05,1.6707074728650406e-05,9.846166860218924e-06
45,1.578854450477578e-05,1.8215368413629008e-05,1.0488351093703766e-05
46,1.706282123484568e-05,1.9781095893201395e-05,1.1138745901654145e-05
47,1.8454880936450774e-05,2.128674475506927e-05,1.1778607896740061e-05
48,1.9872669087483083e-05,2.290490702600041e-05,1.2434133603827962e-05
49,2.1233314135730877e-05,2.4605321882598885e-05,1.3138182729784393e-05
50,2.2622501862843713e-05,2.6119597976493864e-05,1.3911035610010284e-05
51,2.4062594358080935e-05,2.773667869928502e-05,1.4712484359010008e-05
52,2.560458920224527e-05,2.987188852451547e-05,1.5564938037848456e-05
53,2.710670027747387e-05,3.185876308501994e-05,1.640962025405171e-05
54,2.8434018956589447e-05,3.376751239271661e-05,1.7239485824017655e-05
55,2.9504616800291117e-05,3.572827841873538e-05,1.8136927008704124e-05
56,3.059615371675089e-05,3.756707582818724e-05,1.9037231574817083e-05
57,3.2804921639129855e-05,3.950606554052668e-05,1.9905637764182994e-05
58,3.540002302445405e-05,4.139639184391804e-05,2.0807612173950352e-05
59,3.739786178705993e-05,4.3220296572268055e-05,2.1742454948993327e-05
60,3.925289814674883e-05,4.576455116017861e-05,2.2696708615917454e-05
61,4.109090777768617e-05,4.829685192459027e-05,2.3781606996085812e-05
62,4.283660839645942e-05,4.984597370082792e-05,2.492697934954605e-05
63,4.4253743513917377e-05,5.1613219039875005e-05,2.6008388891205892e-05
64,4.5788483148788e-05,5.3491614262248576e-05,2.7120670409351617e-05
65,4.7674843823189895e-05,5.509744572572948e-05,2.8295701602131416e-05
66,4.8832912251374046e-05,5.598537444826296e-05,2.9556302116297338e-05
67,4.879497086058796e-05,5.5012505789457274e-05,3.0913611787555925e-05
68,4.915809129515274e-05,5.097942461119673e-05,3.2406940151351255e-05
69,4.946445970637901e-05,4.399442234686327e-05,3.40518897372555e-05
70,4.830837290568626e-05,3.648742314891742e-05,3.5787487605871636e-05
71,4.697858816621191e-05,3.2190982869099356e-05,3.7399824010791647e-05
72,4.617607918199309e-05,3.0201481492909634e-05,3.883601908653087e-05
73,4.558572347544529e-05,2.8418517458386156e-05,4.026247884815e-05
74,4.5641372898859095e-05,2.8283262187136216e-05,4.1646410848418526e-05
75,4.7258227764822404e-05,3.0216497182361907e-05,4.2892153029645313e-05
76,4.9641852930399473e-05,3.464452707442685e-05,4.404215597858865e-05
77,5.21252758606312e-05,4.023298437593189e-05,4.52025330669953e-05
78,5.400515051046904e-05,4.547830509667298e-05,4.6408788191814035e-05
79,5.4990176772313754e-05,4.9148204388344666e-05,4.793561598845955e-05
80,5.5605510463182466e-05,4.8815287502959624e-05,4.993149149802863e-05
81,5.5565913989466706e-05,4.495371989406648e-05,5.2376335474890436e-05
82,5.4363094197112676e-05,4.140942540767315e-05,5.523873929993028e-05
83,5.1980553432888175e-05,4.062496650633107e-05,5.829899928124268e-05
84,5.0582676273596094e-05,4.385077845194365e-05,6.0960051635541226e-05
85,5.101234966782657e-05,4.976278774654127e-05,6.287929291197874e-05
86,5.2546065084467216e-05,5.31957266554874e-05,6.407258119892788e-05
87,5.3838383328370465e-05,5.4720659928292444e-05,6.459919031963471e-05
88,5.3836328181096445e-05,5.742571665860774e-05,6.510506821377813e-05
89,5.358624381640357e-05,6.087476988108919e-05,6.573583107815922e-05
90,5.343144416105636e-05,6.659630767050088e-05,6.606702235345699e-05
91,5.300544174886244e-05,7.611982751297509e-05,6.61025494227777e-05
92,5.290898428928262e-05,8.925614961291987e-05,6.612078797582021e-05
93,5.474406850524719e-05,0.00010639958994483845,6.626682681605026e-05
94,5.837928970046091e-05,0.00012474983932845302,6.673712587388367e-05
95,6.176889602782185e-05,0.00014106503147092418,6.738956510059937e-05
96,6.550246565680787e-05,0.00015320673490239938,6.807482569330434e-05
97,6.989786322794773e-05,0.00016051299194540683,6.89506092893468e-05
98,7.283291254538325e-05,0.00016383763622438018,6.995193829399943e-05
99,7.379471809858418e-05,0.00016442115808991788,7.091807107371313e-05
100,7.448061983929487e-05,0.00016199081624618554,7.193584675029008e-05
101,7.712890947224804e-05,0.00015818205819398057,7.297274360818511e-05
102,8.018410842138852e-05,0.00015833722070553356,7.354769999848351e-05
103,8.287580873080198e-05,0.00016230440262739456,7.407423530498829e-05
104,8.70816931293817e-05,0.00016905120357225655,7.534517351638449e-05
105,9.189475490968066e-05,0.00017905906605204133,7.702006016160959e-05
106,9.988497746330345e-05,0.00019242455780024744,7.937846042283031e-05
107,0.00011308418623182535,0.00020475192945020672,8.18239616626945e-05
108,0.00012617650293956516,0.00021185581211367443,8.354758115258134e-05
109,0.00013559235595901582,0.0002155704039411135,8.537978425525699e-05
110,0.00014196603819242108,0.000214883633791066,8.738309687245013e-05
111,0.00014901820360802795,0.00021092318659812778,8.922260617205678e-05
112,0.00015725935056992485,0.00020588247013530108,9.099958256555393e-05
113,0.00016339557151665617,0.0001957481000829541,9.319572833428425e-05
114,0.0001663474049056689,0.00018499638842233953,9.564174391407172e-05
115,0.00016600627340487432,0.0001785277635267505,9.828751136231984e-05
116,0.0001634696623322311,0.00017402465040057267,0.000101332916461063
117,0.00016092615749871596,0.0001713457744515767,0.00010432962827179853
118,0.00015862176272556883,0.00016774761382612962,0.00010702679299019513
